"","V1","V2","V3"
"1",0,0,0.292460646230323
"2",0,0,0.239934932899553
"3",0,0,0.374744585206375
"4",0,1,0.239226741844543
"5",0,0,0.937397708674304
"6",0,0,0.268469923294308
"7",0,0,0.234025234025234
"8",0,0,0.190342052313883
"9",1.28502415458937,0,0.60024154589372
"10",0,0,0.413061224489796
"result.1",0,0.00121457489878543,0.403643724696356
"result.2",12,62,10.3625292740047
"result.3",0,0,0.268192968111202
"result.4",0,1,0.823434343434343
"result.5",0,0,0.248792270531401
"result.6",0,0,0.271880064829822
"result.7",0,0.0321268808458723,0.210248068320455
"result.8",1.18506787330317,2.00090497737557,0.628054298642534
"result.9",0.00897571277719111,0.0496304118268205,0.404963041182682
"result.10",0,0,0.330778539733764
"result.11",0,0,0.264349232012935
"result.12",0,0.00694160881992645,0.394855042874643
"result.13",0,0,0.367647058823529
"result.14",0,0,0.279297672519396
"result.15",0,1,0.266693811074919
"result.16",0,0,0.22557003257329
"result.17",0,1,0.251533742331288
"result.18",0,2,0.310938140106514
"result.19",0,0,0.255118755118755
"result.20",0,1,0.55470327008478
